# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1812
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Wed May 11 00:11:37 EDT 2016
# Player 1: Player-0, 'Human', running on 192.168.0.100
# Player 2: Player-1, 'NegaMaxID', running on 192.168.0.100
START Player-0 Human
START Player-1 NegaMaxID
PIT 0 23
PIT 1 20
PIT 0 22
PIT 1 1
PIT 0 19
PIT 1 21
PIT 0 24
PIT 1 7
PIT 0 18
PIT 1 24
PIT 0 27
PIT 1 18
PIT 0 20
PIT 1 19
PIT 0 29
PIT 1 21
PIT 0 26
PIT 1 20
PIT 0 0
PIT 1 23
PIT 0 31
PIT 1 5
PIT 0 1
PIT 1 12
PIT 0 27
PIT 1 17
PIT 0 5
PIT 1 0
PIT 0 4
PIT 1 30
PIT 0 6
PIT 1 11
PIT 0 7
PIT 1 29
PIT 0 8
PIT 1 25
PIT 0 9
PIT 1 4
PIT 0 12
PIT 1 21
GAMEOVER WINNER 1
# Game ended: Wed May 11 00:13:33 EDT 2016
