# Server version 0.08 running on asavpn23525.vpn.mcgill.ca:8123
# Game ID: 1816
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Wed May 11 23:53:06 EDT 2016
# Player 1: Player-0, 'JianHua1', running on asavpn23525.vpn.mcgill.ca
# Player 2: Player-1, 'NegaMaxID', running on asavpn23525.vpn.mcgill.ca
START Player-0 JianHua1
START Player-1 NegaMaxID
PIT 0 8
PIT 1 23
PIT 0 14
PIT 1 19
PIT 0 20
PIT 1 24
PIT 0 18
PIT 1 18
PIT 0 15
PIT 1 16
PIT 0 19
PIT 1 17
PIT 0 20
PIT 1 20
PIT 0 21
PIT 1 19
PIT 0 24
PIT 1 15
PIT 0 0
PIT 1 14
PIT 0 31
PIT 1 17
PIT 0 5
PIT 1 29
PIT 0 6
PIT 1 24
PIT 0 11
PIT 1 19
PIT 0 26
PIT 1 16
PIT 0 12
PIT 1 6
PIT 0 13
PIT 1 24
PIT 0 14
PIT 1 1
PIT 0 15
PIT 1 15
PIT 0 17
PIT 1 26
PIT 0 16
PIT 1 22
GAMEOVER WINNER 1
# Game ended: Wed May 11 23:53:45 EDT 2016
