# Server version 0.08 running on asavpn23599.vpn.mcgill.ca:8123
# Game ID: 1836
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Mon May 16 20:51:54 EDT 2016
# Player 1: Player-0, 'MCTS', running on asavpn23599.vpn.mcgill.ca
# Player 2: Player-1, '260351181', running on asavpn23599.vpn.mcgill.ca
START Player-0 MCTS
START Player-1 260351181
PIT 0 0
PIT 1 20
PIT 0 9
PIT 1 18
PIT 0 4
PIT 1 2
PIT 0 6
PIT 1 21
PIT 0 17
PIT 1 25
PIT 0 25
PIT 1 22
PIT 0 18
PIT 1 14
PIT 0 27
PIT 1 17
PIT 0 0
PIT 1 9
PIT 0 31
PIT 1 12
PIT 0 29
PIT 1 3
PIT 0 20
PIT 1 21
PIT 0 28
PIT 1 14
PIT 0 3
PIT 1 22
PIT 0 4
PIT 1 19
PIT 0 8
PIT 1 29
PIT 0 14
PIT 1 25
PIT 0 5
PIT 1 15
PIT 0 15
PIT 1 26
PIT 0 9
PIT 1 0
PIT 0 10
GAMEOVER USER CANCEL UNDECIDED
# Game ended: Mon May 16 20:53:31 EDT 2016
