# Server version 0.08 running on asavpn23599.vpn.mcgill.ca:8123
# Game ID: 1840
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Mon May 16 21:04:10 EDT 2016
# Player 1: Player-0, 'NegaMaxID', running on asavpn23599.vpn.mcgill.ca
# Player 2: Player-1, '260351181', running on asavpn23599.vpn.mcgill.ca
START Player-0 NegaMaxID
START Player-1 260351181
PIT 0 23
PIT 1 20
PIT 0 2
PIT 1 23
PIT 0 24
PIT 1 7
PIT 0 11
PIT 1 13
PIT 0 6
PIT 1 3
PIT 0 19
PIT 1 2
PIT 0 21
PIT 1 1
PIT 0 26
PIT 1 17
PIT 0 29
PIT 1 22
PIT 0 5
PIT 1 26
PIT 0 20
PIT 1 21
PIT 0 23
PIT 1 18
PIT 0 17
PIT 1 26
PIT 0 7
PIT 1 31
PIT 0 22
PIT 1 30
PIT 0 23
PIT 1 3
PIT 0 27
PIT 1 28
PIT 0 10
PIT 1 25
PIT 0 2
PIT 1 31
PIT 0 30
PIT 1 8
PIT 0 29
PIT 1 29
PIT 0 0
PIT 1 1
PIT 0 25
PIT 1 27
PIT 0 6
PIT 1 10
PIT 0 16
PIT 1 8
PIT 0 1
PIT 1 9
PIT 0 3
GAMEOVER USER CANCEL UNDECIDED
# Game ended: Mon May 16 21:05:59 EDT 2016
