# Server version 0.08 running on asavpn234194.vpn.mcgill.ca:8123
# Game ID: 1862
# Board class: hus.HusBoard
# Timeout: 15000
# First Move Timeout: 30000
# Date: Fri May 20 15:26:35 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on asavpn234194.vpn.mcgill.ca
# Player 2: Player-1, 'MiniMax', running on asavpn234194.vpn.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 MiniMax
PIT 0 4
PIT 1 23
PIT 0 13
PIT 1 10
PIT 0 3
PIT 1 13
PIT 0 19
PIT 1 28
PIT 0 10
PIT 1 7
PIT 0 2
PIT 1 5
PIT 0 5
PIT 1 20
PIT 0 1
PIT 1 1
PIT 0 0
PIT 1 2
PIT 0 5
PIT 1 3
PIT 0 6
PIT 1 4
PIT 0 9
PIT 1 11
PIT 0 13
PIT 1 0
PIT 0 7
PIT 1 1
GAMEOVER WINNER 1
# Game ended: Fri May 20 15:26:35 EDT 2016
