# Server version 0.08 running on asavpn234194.vpn.mcgill.ca:8123
# Game ID: 1865
# Board class: hus.HusBoard
# Timeout: 15000
# First Move Timeout: 30000
# Date: Fri May 20 15:27:54 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on asavpn234194.vpn.mcgill.ca
# Player 2: Player-1, 'Human', running on asavpn234194.vpn.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 Human
PIT 0 7
PIT 1 23
PIT 0 16
PIT 1 20
PIT 0 23
PIT 1 19
PIT 0 8
PIT 1 27
PIT 0 2
PIT 1 28
PIT 0 1
PIT 1 24
PIT 0 0
PIT 1 19
PIT 0 5
PIT 1 19
GAMEOVER WINNER 1
# Game ended: Fri May 20 15:28:33 EDT 2016
